dataset,missing_ratio,missing_pattern,missing_pattern_label,algorithm,algorithm_label,avg_reduction_time,std_reduction_time,avg_tuning_time,std_tuning_time,avg_preprocessing_time,std_preprocessing_time,avg_selection_pipeline_time,std_selection_pipeline_time,avg_selected_attributes
birds,0.05,mcar,MCAR,ours,Ours,0.015693270997871878,0.0030589142406128225,0.0,0.0,0.0,0.0,0.015693729499616893,0.00305903232587491,1.0
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,0.0181507294983021,0.0005307126328305546,0.0,0.0,0.0,0.0,0.0181507294983021,0.0005307126328305546,1.0
birds,0.05,mcar,MCAR,mfs-mcdm,MFS-MCDM,0.0028836249985033646,0.0007026873637382771,18.468328145998385,0.3318453594956842,0.021754937501100358,1.2756912618323747e-05,18.49296670849799,0.3325352899468042,9.5
birds,0.05,mcar,MCAR,fimf,FIMF,0.8731730204999621,0.29358463675472113,21.034613083502336,2.916661323825467,10.45554789599555,14.04717580890839,32.36333399999785,17.257421769488577,16.0
birds,0.05,mcar,MCAR,ml-csfs,ML-CSFS,0.9251136039965786,1.2579226047106769,28.128979666995292,12.950185875225872,1.1950685210031224,0.08872696411381066,30.249161791994993,14.296835444050359,13.5
birds,0.1,mcar,MCAR,ours,Ours,0.09612681249927846,0.09704289270752481,0.0,0.0,0.0,0.0,0.09612722949896124,0.09704277533225603,1.0
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,0.07205531250292552,0.0034671517330859968,0.0,0.0,0.0,0.0,0.07205531250292552,0.0034671517330859968,1.0
birds,0.1,mcar,MCAR,mfs-mcdm,MFS-MCDM,0.0089371875001234,0.004306251307862194,29.071092624999437,0.1410980316619982,25.886937833001866,1.2362202898617345,54.96696764550143,1.3730120702158706,4.5
birds,0.1,mcar,MCAR,fimf,FIMF,1.1943602085011662,0.04900179211607756,31.566036166499543,0.05670265731808673,1.5986056879992248,0.10045108870657277,34.359002062999934,0.10815195390858193,39.0
birds,0.1,mcar,MCAR,ml-csfs,ML-CSFS,0.09467145850067027,0.10083083403424363,38.38227035399541,20.24232358086554,10.740383125001244,14.001441939775681,49.217324937497324,34.34459635467547,3.5
birds,0.15,mcar,MCAR,ours,Ours,0.013934916503785644,0.001268077921383408,0.0,0.0,0.0,0.0,0.01393520800411352,0.0012681960117903747,1.0
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,0.061391146500682225,0.034539072665267005,0.0,0.0,0.0,0.0,0.061391146500682225,0.034539072665267005,1.0
birds,0.15,mcar,MCAR,mfs-mcdm,MFS-MCDM,0.0023757914968882687,6.03395418444762e-05,28.791420917001233,0.7947909098766729,1.11750497900357,0.19157853184567747,29.91130168750169,0.603152038489151,39.0
birds,0.15,mcar,MCAR,fimf,FIMF,0.7961776250012917,0.3517435507837995,30.799777374999394,0.5677161762273243,11.636792875004176,16.41286374106601,43.23274787500486,15.493404014054887,14.5
birds,0.15,mcar,MCAR,ml-csfs,ML-CSFS,0.028634562502702465,0.011639773113604616,35.7256221250027,9.5612852328394,0.4308649169979617,0.5376346757208721,36.185121604503365,9.035290330232131,1.0
scene,0.05,mcar,MCAR,ours,Ours,0.017531374498503283,0.002319605108743168,0.0,0.0,0.0,0.0,0.01753162500244798,0.00231948702348108,1.0
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,0.017198874997120583,0.00040375797497717574,0.0,0.0,0.0,0.0,0.017198874997120583,0.00040375797497717574,1.0
scene,0.05,mcar,MCAR,mfs-mcdm,MFS-MCDM,0.003059541999391513,0.0002787768463922468,16.2568292295,0.23911461040757218,8.43696964549963,11.89743324959547,24.69685841699902,12.136269083156652,16.5
scene,0.05,mcar,MCAR,fimf,FIMF,0.14122829149710014,0.0005502471620479413,16.72142231250109,0.31632713537730767,8.5655807084986,11.216939521058656,25.42823131249679,11.533816903598012,9.0
scene,0.05,mcar,MCAR,ml-csfs,ML-CSFS,1.4928004579996923,1.5556356851129949,44.366976125496876,1.481817508155206,0.029386812500888482,0.0006961756241945544,45.88916339599746,0.07312200133359421,16.0
scene,0.1,mcar,MCAR,ours,Ours,0.015897895500529557,0.000609024708347788,0.0,0.0,0.0,0.0,0.015898062498308718,0.0006090841008306017,1.0
scene,0.1,mcar,MCAR,mcb-ar,MCB-AR,0.024785229499684647,0.0008856802336783323,0.0,0.0,0.0,0.0,0.024785229499684647,0.0008856802336783323,1.0
scene,0.1,mcar,MCAR,mfs-mcdm,MFS-MCDM,0.0025793335007620044,0.00016935277710822112,24.56463425000038,0.04756866415704057,0.46176658399781445,0.6116261525194508,25.028980167498958,0.6593641694535997,6.0
scene,0.1,mcar,MCAR,fimf,FIMF,0.14118231200336595,0.0014072895742554884,24.895968770502805,0.06481508694340925,11.63460747949648,15.234183233857877,36.67175856200265,15.29759103122703,16.5
scene,0.1,mcar,MCAR,ml-csfs,ML-CSFS,0.45538979150296655,0.011173112335762736,51.63290918799976,2.5441732336051013,0.04422425049779122,0.0077893702139863194,52.132523230000515,2.5475569757268777,5.5
scene,0.15,mcar,MCAR,ours,Ours,0.01850029200068093,0.0030372004024028783,0.0,0.0,0.0,0.0,0.01850060449942248,0.0030370526157545044,1.0
scene,0.15,mcar,MCAR,mcb-ar,MCB-AR,0.02884820850158576,0.0017261657410959736,0.0,0.0,0.0,0.0,0.02884820850158576,0.0017261657410959736,1.0
scene,0.15,mcar,MCAR,mfs-mcdm,MFS-MCDM,0.0028314375012996607,0.000293537704803483,30.89469637500224,0.2911965313897213,1.0976246249992982,0.09379188088987682,31.99515243750284,0.19769818820464796,32.5
scene,0.15,mcar,MCAR,fimf,FIMF,0.1463426874979632,0.0035831752209411287,31.432089916503173,0.7274748739294489,15.303275417001714,20.13566385844697,46.88170802100285,19.41177215973846,9.0
scene,0.15,mcar,MCAR,ml-csfs,ML-CSFS,0.41606552049779566,0.054696152729909,62.7276522084976,23.610825812596545,0.5829991460013844,0.7638316819618302,63.72671687499678,22.901690283364623,4.5
yeast,0.05,mcar,MCAR,ours,Ours,0.006348020498990081,0.0009454901513920214,0.0,0.0,0.0,0.0,0.006348228500428377,0.0009454901565369004,1.0
yeast,0.05,mcar,MCAR,mcb-ar,MCB-AR,0.006467333496402716,0.0007672101500784655,0.0,0.0,0.0,0.0,0.006467333496402716,0.0007672101500784655,1.0
yeast,0.05,mcar,MCAR,mfs-mcdm,MFS-MCDM,0.0013329165012692101,2.769735302995945e-06,5.696764083499147,0.510390440454644,5.8269433329987805,0.32730028358007807,11.525040332999197,0.8376879542994191,4.0
yeast,0.05,mcar,MCAR,fimf,FIMF,0.21212754150110413,0.009768327329748201,6.326053312499425,0.7108234228203204,0.13640689599924372,0.18059026924384775,6.674587749999773,0.8816453647344199,11.5
yeast,0.05,mcar,MCAR,ml-csfs,ML-CSFS,0.7685703539973474,0.3641317971391414,8.793891729001189,0.21869407296532806,3.1754850830002397,4.079318819656788,12.737947165998776,4.6621446897612575,5.0
yeast,0.1,mcar,MCAR,ours,Ours,0.008214520999899833,0.00032529881765998753,0.0,0.0,0.0,0.0,0.008214770998165477,0.0003253582152876802,1.0
yeast,0.1,mcar,MCAR,mcb-ar,MCB-AR,0.008023896498343674,0.0005263526102934808,0.0,0.0,0.0,0.0,0.008023896498343674,0.0005263526102934808,1.0
yeast,0.1,mcar,MCAR,mfs-mcdm,MFS-MCDM,0.0011785620008595288,1.2227288487536584e-05,9.176368688000366,0.6150164056862124,0.011106687499705004,0.0004124490235134562,9.18865393750093,0.6154166274212383,8.5
yeast,0.1,mcar,MCAR,fimf,FIMF,0.17591045849985676,0.003156465987188872,9.6977298540005,0.6943019909625069,4.14617531249678,5.3671809738971215,14.019815624997136,6.0646394308468174,2.5
yeast,0.1,mcar,MCAR,ml-csfs,ML-CSFS,1.8084050210018177,1.972020315887248,18.977790917000675,6.511359089605747,0.541560688001482,0.23370960425919338,21.327756626003975,8.717089009752188,7.0
yeast,0.15,mcar,MCAR,ours,Ours,0.007857416996557731,0.00020317581854361436,0.0,0.0,0.0,0.0,0.007857708500523586,0.00020323451132288833,1.0
yeast,0.15,mcar,MCAR,mcb-ar,MCB-AR,0.010793062498123618,0.0006262314422207037,0.0,0.0,0.0,0.0,0.010793062498123618,0.0006262314422207037,1.0
yeast,0.15,mcar,MCAR,mfs-mcdm,MFS-MCDM,0.0011967294994974509,0.0001400955276442514,11.086127625003428,0.18484855538015293,0.19890254200072377,0.26324843001653436,11.28622689650365,0.44823708092433157,11.5
