missing_pattern,missing_pattern_label,algorithm,algorithm_label,mean_f1_score,std_f1_score,mean_ranking_loss,std_ranking_loss,mean_reduction_rate,std_reduction_rate,mean_configured_reduction_time,std_configured_reduction_time
mcar,MCAR,ours,Ours,0.2694291851172845,0.14820481707624752,0.44139264048665305,0.12330125179579474,99.43479159151836,0.3520197463773571,0.007755611333171449,0.003584299263303271
mcar,MCAR,ml-csfs,ML-CSFS,0.22663675745328268,0.2334611937310096,0.4256076058045596,0.11292581668294982,96.66232711655736,3.0065634945790896,3.751192708332989,5.644969655283005
by_object,Object-wise,ours,Ours,0.2568554642299811,0.20212852798511716,0.44863928866029706,0.15191989310696688,99.43479159151836,0.3520197463773571,0.00842748616651079,0.003832293864097454
by_object,Object-wise,ml-csfs,ML-CSFS,0.24296837983032069,0.22748542001148514,0.43694605367399486,0.12866577940914686,94.08342774500889,5.345809810022509,11.857375048666958,6.273546619944902
by_attribute,Attribute-wise,ours,Ours,0.3335601544628541,0.21646095702384618,0.45755548975612,0.13265305611420178,99.43479159151836,0.3520197463773571,0.014974930666388294,0.009628786722271417
by_attribute,Attribute-wise,ml-csfs,ML-CSFS,0.3235032583276431,0.21251147598415387,0.44522330979788965,0.119883459568284,95.35315893845714,6.88092328372799,1.3244436875002066,2.112580429560798
blockwise,Blockwise,ours,Ours,0.3335601544628541,0.21646095702384618,0.45755548975612,0.13265305611420178,99.43479159151836,0.3520197463773571,0.010308875166780732,0.006461394939400861
blockwise,Blockwise,ml-csfs,ML-CSFS,0.28815175654987496,0.23632404282669467,0.44219661339671845,0.13649713371993175,98.22064897654357,1.284124850023188,1.9428387569998147,2.841250560053883
