missing_pattern,missing_pattern_label,algorithm,algorithm_label,mean_f1_score,std_f1_score,mean_ranking_loss,std_ranking_loss,mean_reduction_rate,std_reduction_rate,mean_configured_reduction_time,std_configured_reduction_time
mcar,MCAR,mcb-ar,MCB-AR,0.27761438116431236,0.216185551063742,0.4543964830493192,0.1292638455066293,99.43479159151836,0.3520197463773571,0.013370812332747542,0.007591409236029523
by_object,Object-wise,mcb-ar,MCB-AR,0.28648628294467926,0.24987923472022433,0.47648842695586396,0.182853136632919,100.0,0.0,0.002847541500462588,0.0007822495967234749
by_attribute,Attribute-wise,mcb-ar,MCB-AR,0.3335601544628541,0.21646095702384618,0.45755548975612,0.13265305611420178,99.43479159151836,0.3520197463773571,0.005789513833102926,0.0019922669917724367
blockwise,Blockwise,mcb-ar,MCB-AR,0.3335601544628541,0.21646095702384618,0.45755548975612,0.13265305611420178,99.43479159151836,0.3520197463773571,0.005257951500425406,0.0024098879622092245
