dataset,missing_ratio,missing_pattern,missing_pattern_label,algorithm,algorithm_label,imputer,avg_reduction_time,std_reduction_time,avg_tuning_time,std_tuning_time,avg_preprocessing_time,std_preprocessing_time,avg_selection_pipeline_time,std_selection_pipeline_time,avg_selected_attributes,std_selected_attributes,avg_reduction_rate,std_reduction_rate,avg_f1_score,std_f1_score,avg_ranking_loss,std_ranking_loss,avg_coverage,std_coverage,avg_hamming_loss,std_hamming_loss,total_runtime,folds
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,native,0.01798008300102083,0.010604833949835205,0.0,0.0,0.0,0.0,0.01798008300102083,0.010604833949835205,1.0,0.0,99.61538461538461,0.0,0.3766666650772095,0.037712367844820315,0.49702654371772015,0.05629601276630942,8.237762237762238,0.2076817119568878,0.1080128205128205,0.0004532735776836827,0.19478737499957788,2
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,native,0.017800270499719772,0.009114341243697784,0.0,0.0,0.0,0.0,0.017800270499719772,0.009114341243697784,1.0,0.0,99.61538461538461,0.0,0.32499999552965164,0.17677668475992475,0.5353689611042552,0.09786346216792019,9.136363636363637,1.221366258413127,0.10402097902097904,0.0378277403921475,0.043100750001030974,2
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,native,0.011156270499668608,0.0012443601489565289,0.0,0.0,0.0,0.0,0.011156270499668608,0.0012443601489565289,1.0,0.0,99.61538461538461,0.0,0.375,0.03535534748869708,0.5509041203894145,0.08107496834635078,9.227272727272727,1.0928013891064823,0.10176282051282051,0.00838556118714816,0.02919162499892991,2
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,native,0.00969935400007671,0.0005056110474523661,0.0,0.0,0.0,0.0,0.00969935400007671,0.0005056110474523661,1.0,0.0,99.65986394557824,0.0,0.0416666679084301,0.011785112317328317,0.4725,0.13081475451951124,2.375,0.6717514421272203,0.17083333333333328,0.017677669529663684,0.024222457999712788,2
scene,0.1,mcar,MCAR,mcb-ar,MCB-AR,native,0.017598667000129353,0.005491214486384351,0.0,0.0,0.0,0.0,0.017598667000129353,0.005491214486384351,1.0,0.0,99.65986394557824,0.0,0.0416666679084301,0.011785112317328317,0.5225,0.1308147545195113,2.65,0.7071067811865476,0.20416666666666664,0.041247895569215286,0.04010329199991247,2
scene,0.15,mcar,MCAR,mcb-ar,MCB-AR,native,0.019374812501155247,0.004967454129790305,0.0,0.0,0.0,0.0,0.019374812501155247,0.004967454129790305,1.0,0.0,99.65986394557824,0.0,0.0416666679084301,0.011785112317328317,0.5125,0.14495689014324226,2.5999999999999996,0.7778174593052023,0.20416666666666664,0.041247895569215286,0.04412108299948159,2
yeast,0.05,mcar,MCAR,mcb-ar,MCB-AR,native,0.00402568749996135,0.0013393486332261314,0.0,0.0,0.0,0.0,0.00402568749996135,0.0013393486332261314,1.0,0.0,99.02912621359224,0.0,0.48121076822280884,0.04845985636194681,0.3234815630797774,0.018771181523915163,9.0,0.4242640687119295,0.3461538461538462,0.016317848796612577,0.013275541999973939,2
yeast,0.1,mcar,MCAR,mcb-ar,MCB-AR,native,0.0038059375001466833,0.00025641459651344845,0.0,0.0,0.0,0.0,0.0038059375001466833,0.00025641459651344845,1.0,0.0,99.02912621359224,0.0,0.46617648005485535,0.01444258701977359,0.3053204880437024,0.037969181650935206,8.8,1.2020815280171309,0.35961538461538467,0.008158924398306249,0.012702084000920877,2
yeast,0.15,mcar,MCAR,mcb-ar,MCB-AR,native,0.006319959000393283,0.002564853072155052,0.0,0.0,0.0,0.0,0.006319959000393283,0.002564853072155052,1.0,0.0,99.02912621359224,0.0,0.467404380440712,0.00811434308298413,0.2920436507936508,0.05641421363395055,8.675,0.5303300858899106,0.3173076923076923,0.029916056127123097,0.0178314999993745,2
