dataset,missing_ratio,missing_pattern,missing_pattern_label,algorithm,algorithm_label,avg_reduction_time,std_reduction_time,avg_tuning_time,std_tuning_time,avg_preprocessing_time,std_preprocessing_time,avg_selection_pipeline_time,std_selection_pipeline_time,avg_selected_attributes
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,0.01798008300102083,0.010604833949835205,0.0,0.0,0.0,0.0,0.01798008300102083,0.010604833949835205,1.0
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,0.017800270499719772,0.009114341243697784,0.0,0.0,0.0,0.0,0.017800270499719772,0.009114341243697784,1.0
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,0.011156270499668608,0.0012443601489565289,0.0,0.0,0.0,0.0,0.011156270499668608,0.0012443601489565289,1.0
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,0.00969935400007671,0.0005056110474523661,0.0,0.0,0.0,0.0,0.00969935400007671,0.0005056110474523661,1.0
scene,0.1,mcar,MCAR,mcb-ar,MCB-AR,0.017598667000129353,0.005491214486384351,0.0,0.0,0.0,0.0,0.017598667000129353,0.005491214486384351,1.0
scene,0.15,mcar,MCAR,mcb-ar,MCB-AR,0.019374812501155247,0.004967454129790305,0.0,0.0,0.0,0.0,0.019374812501155247,0.004967454129790305,1.0
yeast,0.05,mcar,MCAR,mcb-ar,MCB-AR,0.00402568749996135,0.0013393486332261314,0.0,0.0,0.0,0.0,0.00402568749996135,0.0013393486332261314,1.0
yeast,0.1,mcar,MCAR,mcb-ar,MCB-AR,0.0038059375001466833,0.00025641459651344845,0.0,0.0,0.0,0.0,0.0038059375001466833,0.00025641459651344845,1.0
yeast,0.15,mcar,MCAR,mcb-ar,MCB-AR,0.006319959000393283,0.002564853072155052,0.0,0.0,0.0,0.0,0.006319959000393283,0.002564853072155052,1.0
