dataset,missing_ratio,missing_pattern,missing_pattern_label,algorithm,algorithm_label,imputer,avg_reduction_time,std_reduction_time,avg_tuning_time,std_tuning_time,avg_preprocessing_time,std_preprocessing_time,avg_selection_pipeline_time,std_selection_pipeline_time,avg_selected_attributes,std_selected_attributes,avg_reduction_rate,std_reduction_rate,avg_f1_score,std_f1_score,avg_ranking_loss,std_ranking_loss,avg_coverage,std_coverage,avg_hamming_loss,std_hamming_loss,total_runtime,folds
birds,0.05,mcar,MCAR,ours,Ours,native,0.036875353998766514,0.015666981703164103,0.0,0.0,0.0,0.0,0.036876416499580955,0.01566748304075032,1.0,0.0,99.61538461538461,0.0,0.375,0.03535534748869708,0.5347567873303167,0.0029373905377344535,9.146853146853147,1.0779669811095611,0.09342948717948718,0.02017067420692393,0.24749729200266302,2
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,native,0.05106170850194758,0.0009800492912409703,0.0,0.0,0.0,0.0,0.05106170850194758,0.0009800492912409703,1.0,0.0,99.61538461538461,0.0,0.3766666650772095,0.037712367844820315,0.49702654371772015,0.05629601276630942,8.237762237762238,0.2076817119568878,0.1080128205128205,0.0004532735776836827,0.1177605830016546,2
birds,0.1,mcar,MCAR,ours,Ours,native,0.033263687499129446,0.00452297953506538,0.0,0.0,0.0,0.0,0.033264187499298714,0.004523096915479049,1.0,0.0,99.61538461538461,0.0,0.375,0.03535534748869708,0.526662267471091,0.008509989228080906,9.024475524475523,1.1224702051003244,0.09475524475524474,0.018295769862868707,0.0834397920043557,2
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,native,0.08695089599859784,0.005355833231918557,0.0,0.0,0.0,0.0,0.08695089599859784,0.005355833231918557,1.0,0.0,99.61538461538461,0.0,0.32499999552965164,0.17677668475992475,0.5353689611042552,0.09786346216792019,9.136363636363637,1.221366258413127,0.10402097902097904,0.0378277403921475,0.1978469160021632,2
birds,0.15,mcar,MCAR,ours,Ours,native,0.05152954200457316,0.003146331018080292,0.0,0.0,0.0,0.0,0.051530333501432324,0.0031464491084872586,1.0,0.0,99.61538461538461,0.0,0.3500000089406967,0.0707106739039699,0.5034956465103524,0.06124323935482482,8.48951048951049,0.17801289596304687,0.10689102564102565,0.03920816446963868,0.1261139580019517,2
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,native,0.04445633399518556,0.0017778432257971573,0.0,0.0,0.0,0.0,0.04445633399518556,0.0017778432257971573,1.0,0.0,99.61538461538461,0.0,0.375,0.03535534748869708,0.5509041203894145,0.08107496834635078,9.227272727272727,1.0928013891064823,0.10176282051282051,0.00838556118714816,0.10063775000162423,2
scene,0.05,mcar,MCAR,ours,Ours,native,0.03689287550150766,0.004344582143048397,0.0,0.0,0.0,0.0,0.03689337500327383,0.004344640835827671,1.0,0.0,99.65986394557824,0.0,0.0416666679084301,0.011785112317328317,0.5174999999999998,0.06717514421272207,2.6,0.3535533905932738,0.2083333333333333,0.03535533905932741,0.0895919579998008,2
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,native,0.030792124998697545,0.0009911275327494143,0.0,0.0,0.0,0.0,0.030792124998697545,0.0009911275327494143,1.0,0.0,99.65986394557824,0.0,0.0416666679084301,0.011785112317328317,0.4725,0.13081475451951124,2.375,0.6717514421272203,0.17083333333333328,0.017677669529663684,0.07162137499835808,2
scene,0.1,mcar,MCAR,ours,Ours,native,0.04703816699839081,0.00982153640890419,0.0,0.0,0.0,0.0,0.047038666998560075,0.009821359636007707,1.0,0.0,99.65986394557824,0.0,0.10000000335276127,0.070710681806504,0.4974999999999999,0.05303300858899111,2.55,0.3535533905932738,0.22916666666666669,0.017677669529663646,0.1109030840016203,2
scene,0.1,mcar,MCAR,mcb-ar,MCB-AR,native,0.055132333502115216,0.00904395441948943,0.0,0.0,0.0,0.0,0.055132333502115216,0.00904395441948943,1.0,0.0,99.65986394557824,0.0,0.0416666679084301,0.011785112317328317,0.5225,0.1308147545195113,2.65,0.7071067811865476,0.20416666666666664,0.041247895569215286,0.12356587500107707,2
scene,0.15,mcar,MCAR,ours,Ours,native,0.04395477049911278,0.004074908599199307,0.0,0.0,0.0,0.0,0.043955375000223285,0.004075056380702801,1.0,0.0,99.65986394557824,0.0,0.10000000335276127,0.070710681806504,0.4974999999999999,0.05303300858899111,2.55,0.3535533905932738,0.22916666666666669,0.017677669529663646,0.10010070799762616,2
scene,0.15,mcar,MCAR,mcb-ar,MCB-AR,native,0.04765354150367784,0.0006065201349619555,0.0,0.0,0.0,0.0,0.04765354150367784,0.0006065201349619555,1.0,0.0,99.65986394557824,0.0,0.0416666679084301,0.011785112317328317,0.5125,0.14495689014324226,2.5999999999999996,0.7778174593052023,0.20416666666666664,0.041247895569215286,0.104498082997452,2
yeast,0.05,mcar,MCAR,ours,Ours,native,0.01218270850222325,0.00016216292193691896,0.0,0.0,0.0,0.0,0.012183437000203412,0.00016189775487487654,1.0,0.0,99.02912621359224,0.0,0.48121076822280884,0.04845985636194681,0.3234815630797774,0.018771181523915163,9.0,0.4242640687119295,0.3461538461538462,0.016317848796612577,0.03526562499610009,2
yeast,0.05,mcar,MCAR,mcb-ar,MCB-AR,native,0.013848874503310071,0.00032803885672157666,0.0,0.0,0.0,0.0,0.013848874503310071,0.00032803885672157666,1.0,0.0,99.02912621359224,0.0,0.48121076822280884,0.04845985636194681,0.3234815630797774,0.018771181523915163,9.0,0.4242640687119295,0.3461538461538462,0.016317848796612577,0.04326766700251028,2
yeast,0.1,mcar,MCAR,ours,Ours,native,0.015496687999984715,0.0007962319338666786,0.0,0.0,0.0,0.0,0.015497187498112908,0.0007962906215010736,1.0,0.0,99.02912621359224,0.0,0.3332875519990921,0.25943220753707924,0.3000156539888683,0.003513395822570036,8.6,0.21213203435596475,0.375,0.029916056127123097,0.04653245899680769,2
yeast,0.1,mcar,MCAR,mcb-ar,MCB-AR,native,0.011437166500400053,0.00033398986619626806,0.0,0.0,0.0,0.0,0.011437166500400053,0.00033398986619626806,1.0,0.0,99.02912621359224,0.0,0.46617648005485535,0.01444258701977359,0.3053204880437024,0.037969181650935206,8.8,1.2020815280171309,0.35961538461538467,0.008158924398306249,0.03195699999923818,2
yeast,0.15,mcar,MCAR,ours,Ours,native,0.015967499999533175,0.00019445436891750832,0.0,0.0,0.0,0.0,0.01596831250208197,0.00019442537752452019,1.0,0.0,99.02912621359224,0.0,0.45645923912525177,0.03637831472232924,0.2897724051741909,0.0009548528877571909,8.5,0.07071067811865575,0.3153846153846154,0.03263569759322527,0.045621541001310106,2
yeast,0.15,mcar,MCAR,mcb-ar,MCB-AR,native,0.021766874997410923,0.0006443510525485367,0.0,0.0,0.0,0.0,0.021766874997410923,0.0006443510525485367,1.0,0.0,99.02912621359224,0.0,0.467404380440712,0.00811434308298413,0.2920436507936508,0.05641421363395055,8.675,0.5303300858899106,0.3173076923076923,0.029916056127123097,0.057584667003538925,2
